sku;name;categoria;tipo;estilo;corte;cuello;composicion;price;special_price;link_producto;link_imagen;product_type;temporada;Talles-disponibles
T0041CAR10;SweaterCarmelo;Sweaters;Sweaters;Sport;ClassicFit;;CottonBlend|95%Algodón-5%Elastano;199900;179900;t0041car10;https://burgues.com/media/catalog/product/t/0/t0041car10_1.jpg;configurable;LINEA;
T0041CAR21;SweaterCarmelo;Sweaters;Sweaters;Sport;ClassicFit;;CottonBlend|95%Algodón-5%Elastano;199900;179900;t0041car21;https://burgues.com/media/catalog/product/t/0/t0041car21_1.jpg;configurable;LINEA;
T0041CAR11;SweaterCarmelo;Sweaters;Sweaters;Sport;ClassicFit;;CottonBlend|95%Algodón-5%Elastano;199900;179900;t0041car11;https://burgues.com/media/catalog/product/t/0/t0041car11_1.jpg;configurable;LINEA;
C0015MUN21;BufandaMunch;Accesorios;;;;;100%Lana;119900;99900;c0015mun21;https://burgues.com/media/catalog/product/_/l/_lr05962.jpg;configurable;LINEA;
C0015MUN63;BufandaMunch;Accesorios;;;;;100%Lana;119900;99900;c0015mun63;https://burgues.com/media/catalog/product/_/l/_lr05958.jpg;configurable;LINEA;
C0015MUN10;BufandaMunch;Accesorios;;;;;100%Lana;119900;99900;c0015mun10;https://burgues.com/media/catalog/product/_/l/_lr05966.jpg;configurable;LINEA;
C0015MUN36;BufandaMunch;Accesorios;;;;;100%Lana;119900;99900;c0015mun36;https://burgues.com/media/catalog/product/_/l/_lr05970.jpg;configurable;LINEA;
C0015MUN19;BufandaMunch;Accesorios;;;;;100%Lana;119900;99900;c0015mun19;https://burgues.com/media/catalog/product/_/l/_lr05978.jpg;configurable;LINEA;
C0015MUN61;BufandaMunch;Accesorios;;;;;100%Lana;119900;99900;c0015mun61;https://burgues.com/media/catalog/product/_/l/_lr05974.jpg;configurable;LINEA;
C0015EGO61;BufandaEgon;Accesorios;;;;;80%Viscosa-10%Poliester-10%Poliamida;119900;99900;c0015ego61;;configurable;LINEA;
C0015EGO11;BufandaEgon;Accesorios;;;;;80%Viscosa-10%Poliester-10%Poliamida;119900;99900;c0015ego11;;configurable;LINEA;
C0015EGO10;BufandaEgon;Accesorios;;;;;80%Viscosa-10%Poliester-10%Poliamida;119900;99900;c0015ego10;;configurable;LINEA;
C0015FOR40;BufandaForner;Accesorios;;;;;100%Acrilico;119900;99900;c0015for40;;configurable;LINEA;
T0021TOR10;RemeraToronto;Remeras;Remeras;Vestir;Classic;CuelloRedondo;100%Algodón;70000;49900;t0021tor10;https://burgues.com/media/catalog/product/t/0/t0021tor10-4.jpg;configurable;ARCHIVE;S
T0021TOR11;RemeraToronto;Remeras;Remeras;Vestir;Classic;CuelloRedondo;100%Algodón;70000;49900;t0021tor11;https://burgues.com/media/catalog/product/t/0/t0021tor11-1.jpg;configurable;ARCHIVE;
T0021TOR21;RemeraToronto;Remeras;Remeras;Vestir;Classic;CuelloRedondo;100%Algodón;70000;49900;t0021tor21;https://burgues.com/media/catalog/product/t/0/t0021tor21.jpg;configurable;ARCHIVE;
L0052VERC1;CamisaVermer;Camisas;Camisas;Vestir;ClassicFit;CuelloCutaway;100%Lino;125000;99900;l0052verc1;https://burgues.com/media/catalog/product/l/0/l0052verc1.jpg;configurable;ARCHIVE;
I2217TEN40;GorroTen;Accesorios;Gorros;Sport;;;100%Lana;70000;44900;i2217ten40;https://burgues.com/media/catalog/product/i/2/i2217ten40.jpg;configurable;ARCHIVE;TU
I2217LOR61;GorroLorenzo;Accesorios;Gorros;Sport;;;100%Lana;70000;44900;i2217lor61;https://burgues.com/media/catalog/product/i/2/i2217lor61.jpg;configurable;ARCHIVE;
I2217LOR21;GorroLorenzo;Accesorios;Gorros;Sport;;;100%Lana;70000;44900;i2217lor21;https://burgues.com/media/catalog/product/i/2/i2217lor21.jpg;configurable;ARCHIVE;
I2217LOR12;GorroLorenzo;Accesorios;Gorros;Sport;;;100%Lana;70000;44900;i2217lor12;https://burgues.com/media/catalog/product/i/2/i2217lor12.jpg;configurable;ARCHIVE;
I1717ELE40;GorroEleven;Accesorios;Gorros;Sport;;;100%Lana;70000;44900;i1717ele40;https://burgues.com/media/catalog/product/i/1/i1717ele40.jpg;configurable;ARCHIVE;
I2217LOR08;GorroLorenzo;Accesorios;Gorros;Sport;;;100%Lana;70000;44900;i2217lor08;https://burgues.com/media/catalog/product/i/2/i2217lor08.jpg;configurable;ARCHIVE;
T0021HIG3G;RemeraHigh|AlgodónEgipcio;Remeras;Remeras;Vestir;ClassicFit;;100%AlgodónEgipcio;109900;79900;t0021hig3g;https://burgues.com/media/catalog/product/t/0/t0021hig3g_0406.jpg;configurable;ARCHIVE;S|XXL|3XL
I2052TOUC1;CamisaToulouse;Camisas;Camisas;Vestir;SlimFit;CuelloCutaway;100%Algodón;100000;69900;i2052touc1;https://burgues.com/media/catalog/product/i/2/i2052touc1-1.jpg;configurable;ARCHIVE;XS|S|M
I2241SOF61;SweaterSoft;Sweaters;Sweaters;Vestir;SlimFit;CuelloRedondo;WoolBlend|50%Lana-50%Acrilico;100000;69900;i2241sof61;https://burgues.com/media/catalog/product/i/2/i2241sof61-1_1.jpg;configurable;ARCHIVE;
I2241SOF21;SweaterSoft;Sweaters;Sweaters;Vestir;SlimFit;CuelloRedondo;WoolBlend|50%Lana-50%Acrilico;100000;69900;i2241sof21;https://burgues.com/media/catalog/product/i/2/i2241sof21.jpg;configurable;ARCHIVE;
I2152CLAC1;CamisaClair;Camisas;Camisas;Vestir;SlimFit;CuelloCutaway;100%Algodón;100000;69900;i2152clac1;https://burgues.com/media/catalog/product/i/2/i2152clac1.jpg;configurable;ARCHIVE;S
I2052CHA01;CamisaChad;Camisas;Camisas;Vestir;SlimFit;CuelloIngles;100%Algodón;100000;69900;i2052cha01;https://burgues.com/media/catalog/product/i/2/i2052cha01.jpg;configurable;ARCHIVE;
I1952CHIC1;CamisaChief;Camisas;Camisas;Vestir;SlimFit;CuelloCutaway;100%Algodón;100000;69900;i1952chic1;https://burgues.com/media/catalog/product/i/1/i1952chic1-1.jpg;configurable;ARCHIVE;
V1953AUR21;CamisaAurora;Camisas;Camisas;Vestir;SlimFit;CuelloItaliano;100%Algodón;100000;69900;v1953aur21;https://burgues.com/media/catalog/product/v/1/v1953aur21.jpg;configurable;ARCHIVE;
C0018VIN21;GorroVinci;Accesorios;Gorros;Sport;;;100%Lana;70000;39900;gorro-vinci-21;https://burgues.com/media/catalog/product/_/l/_lr02315.jpg;configurable;ARCHIVE;
C0018VIN61;GorroVinci;Accesorios;Gorros;Sport;;;100%Lana;70000;39900;gorro-vinci-61;https://burgues.com/media/catalog/product/_/l/_lr02328.jpg;configurable;ARCHIVE;
C0018VIN08;GorroVinci;Accesorios;Gorros;Sport;;;100%Lana;70000;39900;gorro-vinci-8;https://burgues.com/media/catalog/product/c/0/c0018vin08-1.jpg;configurable;ARCHIVE;
C0018VIN10;GorroVinci;Accesorios;Gorros;Sport;;;100%Lana;70000;39900;gorro-vinci-10;https://burgues.com/media/catalog/product/_/l/_lr02323.jpg;configurable;ARCHIVE;
C0018VIN30;GorroVinci;Accesorios;Gorros;Sport;;;100%Lana;70000;39900;gorro-vinci-30;https://burgues.com/media/catalog/product/_/l/_lr02332.jpg;configurable;ARCHIVE;TU
C0013HAR10;TarjeteroHarrison;Accesorios;Billeteras;;;;;99900;65000;c0013har10;https://burgues.com/media/catalog/product/c/0/c0013har-1.jpg;configurable;ARCHIVE;
I2073LOS62;PantalónLosca;Pantalones;Pantalones;Vestir;SlimFit;;CottonBlend|98%Algodón-2%Elastano;100000;65000;i2073los62;https://burgues.com/media/catalog/product/i/2/i2073los62.jpg;configurable;ARCHIVE;
I2073LOS21;PantalónLosca;Pantalones;Pantalones;Vestir;SlimFit;;CottonBlend|98%Algodón-2%Elastano;100000;65000;i2073los21;https://burgues.com/media/catalog/product/i/2/i2073los21.jpg;configurable;ARCHIVE;
I2073LOS30;PantalónLosca;Pantalones;Pantalones;Vestir;SlimFit;;CottonBlend|98%Algodón-2%Elastano;100000;65000;i2073los30;https://burgues.com/media/catalog/product/i/2/i2073los30-1.jpg;configurable;ARCHIVE;
T0021BER01;RemeraBern;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021ber01;https://burgues.com/media/catalog/product/t/0/t0021ber01-5.jpg;configurable;ARCHIVE;
T0021BER10;RemeraBern;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021ber10;https://burgues.com/media/catalog/product/t/0/t0021ber10-1.jpg;configurable;ARCHIVE;
T0021ERM10;RemeraErme;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021erm10;https://burgues.com/media/catalog/product/t/0/t0021erm10-5_1_.jpg;configurable;ARCHIVE;XS|S|L
T0021ERM01;RemeraErme;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021erm01;https://burgues.com/media/catalog/product/t/0/t0021erm01-5.jpg;configurable;ARCHIVE;
T0021STU10;RemeraStudio;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021stu10;https://burgues.com/media/catalog/product/t/0/t0021stu10-1.jpg;configurable;ARCHIVE;XS|S|XL
T0021LIM10;RemeraLimited;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021lim10;https://burgues.com/media/catalog/product/t/0/t0021lim10.jpg;configurable;ARCHIVE;XS|S
V2321ICOD1;RemeraIconic;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;v2321icod1;https://burgues.com/media/catalog/product/v/2/v2321icod1.jpg;configurable;ARCHIVE;XS
T0021BIA10;RemeraBiarritz;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021bia10;https://burgues.com/media/catalog/product/t/0/t0021bia10-1.jpg;configurable;ARCHIVE;XS|S|M|XL
T0021ICO10;RemeraIconic;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021ico10;https://burgues.com/media/catalog/product/_/l/_lr04661.jpg;configurable;ARCHIVE;XS|M
T0021BOS10;RemeraBoston;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021bos10;https://burgues.com/media/catalog/product/t/0/t0021bos10-1.jpg;configurable;ARCHIVE;
T0021BOS21;RemeraBoston;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021bos21;https://burgues.com/media/catalog/product/t/0/t0021bos21-1.jpg;configurable;ARCHIVE;
V2321ICO36;RemeraIconic;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;v2321ico36;https://burgues.com/media/catalog/product/v/2/v2321ico36-1.jpg;configurable;ARCHIVE;XS
V2321PAR01;RemeraParis;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;v2321par01;https://burgues.com/media/catalog/product/v/2/v2321par01-1.jpg;configurable;ARCHIVE;XS|S|M|L
T0021STU01;RemeraStudio;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021stu01;https://burgues.com/media/catalog/product/t/0/t0021stu01.jpg;configurable;ARCHIVE;XS|S|M
T0021BIA01;RemeraBiarritz;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021bia01;https://burgues.com/media/catalog/product/t/0/t0021bia01-1_1.jpg;configurable;ARCHIVE;XS|S|L|XL
T0021LIM01;RemeraLimited;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021lim01;https://burgues.com/media/catalog/product/t/0/t0021lim01-1.jpg;configurable;ARCHIVE;XS|S
